etcsl_no,text_name,version,l_no,text
c.4.32.e,A šir-namšub to Utu (Utu E),,49,sux-x-emesal:u₃-mu-un[lord]N sux-x-emesal:Enki[1]DN sux:šu[hand]N sux:e₃-ba[verb-part-of-multiword-verb]V
c.4.32.e,A šir-namšub to Utu (Utu E),,50,sux:šag₄[heart]N sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:gu₂[neck]N sux:gi₄[to-return]V
c.4.32.e,A šir-namšub to Utu (Utu E),,51,sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux-x-emesal:mu-lu[person]N sux:zid[right]AJ sux:gu₂[neck]N sux:gi₄[to-return]V
c.4.32.e,A šir-namšub to Utu (Utu E),,52,sux-x-emesal:u₃-mu-un[lord]N sux:erim₃[storehouse]N sux:kur[(mountain)-land]N sux:gal[to-be-big]V sux-x-emesal:Enlil[1]DN sux:gu₂[neck]N sux:gi₄[to-return]V
c.4.32.e,A šir-namšub to Utu (Utu E),,53,sux:nin[lady]N sux:erim₃[storehouse]N sux:ama[mother]N sux:gal[to-be-big]V sux:Ninlil[1]DN sux:gu₂[neck]N sux:gi₄[to-return]V
c.4.32.e,A šir-namšub to Utu (Utu E),,54,sux:lu₂[person]N sux:zid[right]AJ sux:kaš[beer]N sux:bur[type-of-bowl]N sux-x-emesal:me-ri[foot]N sux:ki[place]N sux:KU[KU]V
c.4.32.e,A šir-namšub to Utu (Utu E),,55,sux:zabar[bronze]N sux-x-emesal:ši[life-(breath)]N sux-x-emesal:su₃-ud-ma-al[long-lasting]AJ sux:dirig[to-be-superior]V
c.4.32.e,A šir-namšub to Utu (Utu E),,56,sux:Nibru[1]SN sux:du₃[to-erect]V sux:X[X]V sux-x-emesal:še-eb[brick(work)]N sux:e₂[house(hold)]N
c.4.32.e,A šir-namšub to Utu (Utu E),,57,sux:dam[spouse]N sux:til₃[to-live]V sux:e₂[house(hold)]N sux:dirig[to-be-superior]V
c.4.32.e,A šir-namšub to Utu (Utu E),,58,sux:a[water]N sux:e₂[house(hold)]N sux:a[water]N
c.4.32.e,A šir-namšub to Utu (Utu E),,59,sux:ki-ru-gu₂[composition-division]N sux:4-kam-ma[4th]NU
c.4.32.e,A šir-namšub to Utu (Utu E),,60,sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V
c.4.32.e,A šir-namšub to Utu (Utu E),,61,sux:Utu[1]DN sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V
c.4.32.e,A šir-namšub to Utu (Utu E),,62,sux:am[wild-bull]N sux:E-babbar[1]TN sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V
c.4.32.e,A šir-namšub to Utu (Utu E),,63,sux:sun₄[beard]N sux:mu₂[to-grow]V sux:dumu[child]N sux:Ningal[1]DN sux:tud[to-give-birth]V sux-x-emesal:i-bi₂[eye]N sux:bar[to-set-aside]V
c.4.32.e,A šir-namšub to Utu (Utu E),,64,sux:za[you-(sg.)]PD sux-x-emesal:i-bi₂[eye]N sux:gud[bull]N sux:tur₃[animal-stall]N sux:bar[to-set-aside]V sux:gud[bull]N sux:tur₃[animal-stall]N sux:si[to-fill]V
c.4.32.e,A šir-namšub to Utu (Utu E),,65,sux:za[you-(sg.)]PD sux-x-emesal:i-bi₂[eye]N sux-x-emesal:e-ze₂[sheep]N sux:amaš[sheepfold]N sux:bar[to-set-aside]V sux-x-emesal:e-ze₂[sheep]N sux:amaš[sheepfold]N sux:si[to-fill]V
