id_text,text_name,version,l_no,text
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 1,sux:ninda[bread]N sux:zid[flour]N sux:še[barley]N sux:sa[roast]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 2,sux:ninda[bread]N sux:ziddubdub[flour-heap]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 3,sux:ninda[bread]N sux:gabaria[offering]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 4,sux:ninda[bread]N sux:igidu[gift]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 5,sux:ninda[bread]N sux:eša[flour]N sux:sag[rare]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 6,sux:ninda[bread]N sux:egir[back]N sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 7,sux:ninda[bread]N sux:ibtag[remainder]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 8,sux:ninda[bread]N sux:dirig[excess]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 9,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 10,sux:ninda[bread]N sux:peš[fig]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 11,sux:ninda[bread]N sux:hašhur[apple]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 12,sux:ninda[bread]N sux:šu[hand]N sux:ur[drag]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o v 13,sux:ninda[bread]N sux:nimur[ashes]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 1,sux:ninda[bread]N sux:gur[thick]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 2,sux:ninda[bread]N sux:gur[thick]V/i sux:lu[person]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 3,sux:ninda[bread]N sux:gur[thick]V/i sux:lugal[king]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 4,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 5,sux:ninda[bread]N sux:pananikum[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 6,sux:ninda[bread]N sux:pandunum[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 7,sux:ninda[bread]N sux:hibza[~bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 8,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 9,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 10,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 11,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 12,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 13,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,o vi 14,sux:ninda[bread]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 1',sux:i[oil]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 2',sux:i[oil]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 3',sux:i[oil]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 4',sux:i[oil]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 5',sux:i[oil]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 6',sux:i[oil]N sux:ligidba[plant]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 7',sux:ligidba[plant]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 8',sux:šim[aromatics]N sux:hib[~aromatic]AJ
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 9',sux:šim[aromatics]N sux:hi[mix]V/t
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 10',sux:šim[aromatics]N sux:gi[reed]N sux:dug[good]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 11',sux:šim[aromatics]N sux:GAM.GAM[~aromatics]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 12',sux:šim[aromatics]N sux:GAM.GAM[~aromatics]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 13',sux:šim[aromatics]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r i 14',sux:šim[aromatics]N sux:šeli[aromatics]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 1',sux:ziz[emmer]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 2',sux:ziz[emmer]N sux:babbar[white]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 3',sux:ziz[emmer]N sux:kukkug[dark]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 4',sux:še[barley]N sux:eštub[carp]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 5',sux:šeŋuš[barley]N
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 6',sux:še[barley]N sux:gibil[new]V/i
dcclt/Q000043,OB Nippur Ura 06,SLT 012 [OB Nippur Ura],,r ii 7',sux:še[barley]N sux:sumun[old]V/i
