id
ʾeni-ʾanabi[1]pn
zimri-yidda[2]pn
x-saya[1]pn
ummahnu[1]pn
garu[1]gn
hinnatuna[hannathon]gn
kusuna[1]pn
bin-aṣimi[1]pn
yurza[1]gn
ullaza[1]gn
rahmanu[1]pn
tutu[1]pn
ʾenu-šasi[1]gn
šanhar[1]gn
akizzi[1]pn
gazru[gezer]gn
baʾluma[1]pn
labana[1]gn
šullum-marduk[1]pn
taššu[1]pn
šuwardata[1]pn
taduʾa[1]pn
puhuru[1]pn
zi-x[1]pn
nimmahe[1]pn
rabi-ṣidqi[1]pn
intaruta[1]pn
baʾluya[1]pn
mayati[1]pn
hašabu[1]gn
biryawaza[1]pn
šumitti[1]pn
nuribtu[1]gn
ibirta[1]gn
zarqu[1]gn
nukurtuwa[1]pn
miyare[1]pn
yarimuta[1]gn
addu[1]dn
lukku[1]gn
ṣurru[tyre]gn
surata[1]pn
muhraštu[moreset-gat]gn
bet-ili[1]pn
qina[1]gn
yapu[joppa]gn
hanigalbat[mittani]gn
ṭubu[ṭob]gn
bit-arha[1]gn
pahanate[1]pn
milk-ilu[1]pn
aya[1]pn
maya[1]pn
zalhu[1]gn
biridašwa[1]pn
ʿakka[akko]gn
baštumme[1]pn
zišamimi[1]pn
nin-ur.mah.meš[1]pn
šutti[1]pn
rapiʾ-ilu[1]pn
nergal[1]dn
biridiya[1]pn
šunamu[sunem]gn
ʾanatu[1]pn
baʾlu-meher[1]pn
ahlamu[(aramaean)]en
x-ušda[1]pn
ruhizu[1]gn
apu[1]gn
gilunu[1]gn
ṣarha[sorea]gn
x-nuna[1]gn
šamaš[1]dn
yabni-ilu[1]pn
haʾip[1]pn
atahmaya[1]pn
amurru[1]gn
aman-hatpe[1]pn
abdi-ri-ša[1]pn
magdalu[2]gn
pu-baʾlu[1]pn
x-aṣmanu[1]pn
baṭruna[1]gn
ardatu[1]gn
dumu-piha[1]pn
šigatu[1]gn
ipte-x[1]pn
arṣayu[1]pn
taʿannaku[taanach]gn
šabi-ilu[1]pn
haʾi[1]pn
pihilu[1]gn
šamhuna[šimron]gn
hayyanu[1]gn
hizziri[1]pn
maya[2]pn
hanʾi[1]pn
mittani[1]gn
ayaluna[ayyalun]gn
paʾapu[1]pn
šuta[1]pn
hibiya[1]pn
tahmašši[1]pn
etakkama[1]pn
tehu-tešup[1]pn
šasʿimu[1]gn
zuhru[1]gn
abi-milku[1]pn
aziru[1]pn
gintu-ašna[1]gn
tuya[1]pn
hanigalbatî[hurrian]en
pišyari[1]pn
qaṭna[1]gn
qiltu[kegila]gn
yašdata[1]pn
puheya[1]pn
aten[1]dn
reʾ-anap[1]pn
qanu[1]gn
šadêya[1]pn
milkur[1]pn
x-ruma[1]pn
bit-sani[beth-shean]gn
abdi-baʿlu[1]pn
urušalim[jerusalem]gn
enhamu[1]pn
ašqaluna[ashkelon]gn
gittu-rimmunima[gath-rimmon]gn
magdalu[3]gn
yapu[japhia]gn
sutu[1]en
rabi-ʾilu[1]pn
tahda[1]gn
kunneya[1]pn
haya[1]pn
tunanab[1]gn
hagurru[1]pn
tinni[1]gn
mahzibtu[1]gn
taku[2]pn
appiha[1]pn
gintu-kirmil[gath-carmel]gn
milkayu[1]pn
qidšu[qadesh]gn
muhhazu[1]gn
šehlalu[1]gn
binana[1]pn
karduniaš[babylonia]gn
tahšu[1]gn
aššur-nadin-ahhe[1]pn
lakišu[lachish]gn
arašni[1]gn
šum-addu[1]pn
bel-šamma[1]pn
yaramu[1]gn
abdi-aštarti[1]pn
yawi[1]pn
guddašuna[1]gn
irqata[1]gn
biʾruta[beirut]gn
šutarna[1]pn
šumu-haddi[1]pn
ampi[1]gn
hatip[1]pn
kašu[cush]gn
tušultu[1]gn
arašša[1]pn
zinzar[1]gn
puwuru[1]pn
buruzili[1]gn
kinaʿanu[canaan]gn
magidda[megiddo]gn
araru[1]gn
bīt-x[1]gn
ṣutu[1]gn
hallunnu[1]gn
zirdamyašda[1]pn
ninurta[1]dn
zitriyara[1]pn
barga[1]gn
zaqara[1]pn
dašru[1]pn
aman-mašša[1]pn
abdi-milki[1]pn
ayyab[1]pn
turbaṣu[1]pn
satatna[1]pn
ṣu-x[1]gn
usu[1]gn
labʾaya[1]pn
miya[1]pn
šeru[seir]gn
ištar[1]dn
aššur[1]gn
magdalu[4]gn
tahmaya[1]pn
ir₃-heba[1]pn
subaru[1]gn
manya[1]pn
arsawuya[1]pn
kadašman-enlil[kadašma-enlil-i]pn
gublu[byblos]gn
ušbarra[1]pn
x-ya[1]gn
bin-ilima[1]pn
pihuru[1]pn
yašuya[1]pn
rubbutu[1]gn
baʾlu-dani[1]pn
yattin-haddi[1]pn
ʾaduru[1]gn
ruṣmanya[1]pn
damu[1]dn
arwada[arvad]gn
iri-mayašša[1]pn
ʾammunira[1]pn
hamašše[1]pn
dagan-takala[1]pn
ilu-milku[1]pn
mut-baʾlu[1]pn
tunip[1]gn
manahpiya[1]pn
wahliya[1]gn
amana[amon]dn
yapaʾ-haddi[1]pn
uštu[1]gn
zidana[1]pn
gimtu[gath]gn
niqmaddu[1]pn
ṣiduna[sidon]gn
alašiya[cyprus]gn
ʾamqu[1]gn
bišitanu[1]pn
up-?-tar[1]pn
leya[1]pn
yaptih-haddi[1]pn
yabišuma[yabes]gn
zimri-yidda[1]pn
dašarti[1]pn
