id_text,text_name,l_no,text
dcclt/Q000052,Nippur Nigga,154,sux:niŋŋar[sum]N sux:ŋar[place]V/t
dcclt/Q000052,Nippur Nigga,155,sux:niŋgida[rod?]N
dcclt/Q000052,Nippur Nigga,156,sux:šu[hand]N sux:aš[six]NU
dcclt/Q000052,Nippur Nigga,157,sux:šu[hand]N sux:la[stretch]V/t
dcclt/Q000052,Nippur Nigga,160,sux:šubaršuŋal[possession]N
dcclt/Q000052,Nippur Nigga,161,sux:šubaršuŋal[possession]N
dcclt/Q000052,Nippur Nigga,162,sux:šubarzi[help]V/t
dcclt/Q000052,Nippur Nigga,163,sux:šu[hand]N sux:zig[rise]V/t
dcclt/Q000052,Nippur Nigga,164,sux:šu[hand]N sux:zig[rise]V/t
dcclt/Q000052,Nippur Nigga,165,sux:šu[hand]N sux:ŋar[place]V/t
dcclt/Q000052,Nippur Nigga,166,sux:šuŋargi[avenger]N
dcclt/Q000052,Nippur Nigga,167,sux:šu[hand]N sux:kar[insult]V/t
dcclt/Q000052,Nippur Nigga,168,sux:šu[hand]N sux:ak[do]V/t
dcclt/Q000052,Nippur Nigga,169,sux:šu[hand]N sux:dubul[paralyze?]V/t
dcclt/Q000052,Nippur Nigga,170,sux:šu[hand]N sux:tag[touch]V/t
dcclt/Q000052,Nippur Nigga,171,sux:šu[hand]N sux:tag[touch]V/t
dcclt/Q000052,Nippur Nigga,172,sux:šu[hand]N sux:tag[touch]V/t
dcclt/Q000052,Nippur Nigga,173,sux:šu[hand]N sux:gub[stand]V/i
dcclt/Q000052,Nippur Nigga,174,sux:šu[hand]N sux:gub[stand]V/i
dcclt/Q000052,Nippur Nigga,175,sux:šu[hand]N sux:tum[suitable]V/i
dcclt/Q000052,Nippur Nigga,176,sux:šuagina[offerings]N
dcclt/Q000052,Nippur Nigga,177,sux:šu[hand]N sux:gin[firm]V/i
dcclt/Q000052,Nippur Nigga,178,sux:šu[hand]N sux:zig[rise]V/t
dcclt/Q000052,Nippur Nigga,179,sux:šu[hand]N sux:zig[rise]V/t sux:dug[speak]V/t
dcclt/Q000052,Nippur Nigga,180,sux:šu[hand]N sux:hehezer[squeeze]V/t
dcclt/Q000052,Nippur Nigga,181,sux:šu[hand]N sux:dub[tremble]V/t
dcclt/Q000052,Nippur Nigga,182,sux:šu[hand]N sux:dub[tremble]V/t
dcclt/Q000052,Nippur Nigga,184,sux:šu[hand]N sux:pel[defile]V/t
dcclt/Q000052,Nippur Nigga,186,sux:šu[hand]N sux:gid[drag]V/t
dcclt/Q000052,Nippur Nigga,187,sux:šu[hand]N sux:gid[drag]V/t
dcclt/Q000052,Nippur Nigga,189,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,190,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,191,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,192,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,193,sux:tukum[if]CNJ
dcclt/Q000052,Nippur Nigga,194,sux:tukum[if]CNJ
dcclt/Q000052,Nippur Nigga,195,sux:tukum[if]CNJ sux:di[speak]V/t
dcclt/Q000052,Nippur Nigga,196,sux:šu[hand]N sux:sag[good]V/i
dcclt/Q000052,Nippur Nigga,198,sux:šu[hand]N sux:du[suitable]V/i
dcclt/Q000052,Nippur Nigga,199,sux:šubarra[half]N
dcclt/Q000052,Nippur Nigga,200,sux:šu[hand]N sux:bar[cvve]V/t
dcclt/Q000052,Nippur Nigga,201,sux:šu[hand]N sux:bad[open]V/t
dcclt/Q000052,Nippur Nigga,202,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,203,sux:šu[hand]N sux:min[two]NU sux:bala[turn]V/t
dcclt/Q000052,Nippur Nigga,204,sux:šu[hand]N sux:eš[three]NU sux:bala[turn]V/t
dcclt/Q000052,Nippur Nigga,205,sux:šuduʾa[guarantee]N
dcclt/Q000052,Nippur Nigga,206,sux:šu[hand]N sux:dirig[excess]N
dcclt/Q000052,Nippur Nigga,207,sux:šuniŋin[total]N
dcclt/Q000052,Nippur Nigga,208,sux:šugurgur[purification]N
dcclt/Q000052,Nippur Nigga,209,sux:šu[hand]N sux:du[hold]V/t
dcclt/Q000052,Nippur Nigga,210,sux:šu[hand]N sux:sag[good]V/i
dcclt/Q000052,Nippur Nigga,211,sux:šu[hand]N sux:zalag[shine]V/i
dcclt/Q000052,Nippur Nigga,212,sux:šu[hand]N sux:gal[big]V/i
dcclt/Q000052,Nippur Nigga,213,sux:šu[hand]N sux:tur[small]V/i
dcclt/Q000052,Nippur Nigga,214,sux:šu[hand]N sux:zuhul[pierce]V/t
dcclt/Q000052,Nippur Nigga,215,sux:šu[hand]N sux:zuhul[pierce]V/t
dcclt/Q000052,Nippur Nigga,216,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,217,sux:šu[hand]N sux:nim[high]V/i
dcclt/Q000052,Nippur Nigga,218,sux:šu[hand]N sux:šub[fall]V/t
dcclt/Q000052,Nippur Nigga,219,sux:šu[hand]N sux:il[raise]V/t
dcclt/Q000052,Nippur Nigga,220,sux:šu[hand]N sux:hunu[weak]V/i
dcclt/Q000052,Nippur Nigga,221,sux:šu[hand]N sux:huz[cvve]V/t
dcclt/Q000052,Nippur Nigga,222,sux:šu[hand]N sux:rah[beat]V/t
dcclt/Q000052,Nippur Nigga,223,sux:šu[hand]N sux:dag[demolish]V/t
dcclt/Q000052,Nippur Nigga,224,sux:lirum[strength]N
dcclt/Q000052,Nippur Nigga,225,sux:lirum[strength]N
dcclt/Q000052,Nippur Nigga,226,sux:lirum[strength]N
dcclt/Q000052,Nippur Nigga,227,sux:šukešed[clothing]N
dcclt/Q000052,Nippur Nigga,228,sux:šu[hand]N sux:sir[bind]V/t
dcclt/Q000052,Nippur Nigga,229,sux:šukešed[clothing]N sux:kešed[bind]V/t
dcclt/Q000052,Nippur Nigga,230,sux:šu[hand]N sux:hulu[bad]V/i sux:di[speak]V/t
dcclt/Q000052,Nippur Nigga,231,sux:šu[hand]N sux:tulu[slacken]V/t
dcclt/Q000052,Nippur Nigga,232,sux:tulu[slacken]V/t
dcclt/Q000052,Nippur Nigga,233,sux:šuria[half]N
dcclt/Q000052,Nippur Nigga,234,sux:šubura[palsy]N
dcclt/Q000052,Nippur Nigga,235,sux:šu[hand]N sux:sun[haughty]V/i
dcclt/Q000052,Nippur Nigga,236,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,237,sux:sulim[radiance]N
dcclt/Q000052,Nippur Nigga,238,sux:šukud[fisherman]N
dcclt/Q000052,Nippur Nigga,239,sux:šukud[fisherman]N
dcclt/Q000052,Nippur Nigga,240,sux:šukud[fisherman]N
dcclt/Q000052,Nippur Nigga,241,sux:šukud[fisherman]N sux:aʾabak[sea]N
dcclt/Q000052,Nippur Nigga,242,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,243,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,244,sux:šu[hand]N sux:šuš[cover]V/t
dcclt/Q000052,Nippur Nigga,245,sux:šu[hand]N sux:šuš[cover]V/t
dcclt/Q000052,Nippur Nigga,246,sux:šu[hand]N
dcclt/Q000052,Nippur Nigga,247,sux:šu[hand]N sux:e[leave]V/i
dcclt/Q000052,Nippur Nigga,248,sux:šu[hand]N sux:tam[trust]V/t
dcclt/Q000052,Nippur Nigga,249,sux:šu[hand]N sux:la[hang]V/t
dcclt/Q000052,Nippur Nigga,250,sux:šu[hand]N sux:kag[mouth]N sux:sa[equal]V/t
dcclt/Q000052,Nippur Nigga,251,sux:šu[hand]N sux:zabar[bronze]N sux:du[suitable]V/i
dcclt/Q000052,Nippur Nigga,252,sux:šu[hand]N sux:hum[paralyze]V/t
dcclt/Q000052,Nippur Nigga,253,sux:šu[hand]N sux:hum[paralyze]V/t
dcclt/Q000052,Nippur Nigga,254,sux:šu[hand]N sux:dili[single]V/i
dcclt/Q000052,Nippur Nigga,255,sux:šuzigu[substitute]N
dcclt/Q000052,Nippur Nigga,256,sux:šu[hand]N sux:tutu[cvve]V/t
dcclt/Q000052,Nippur Nigga,257,sux:šuniŋin[total]N
dcclt/Q000052,Nippur Nigga,258,sux:šu[hand]N sux:gur[turn]V/i
dcclt/Q000052,Nippur Nigga,259,sux:šuguru[~dates]N
